"Id","SalePrice"
1461,124602.48528188
1462,155556.729505655
1463,177003.088090257
1464,175215.89154154
1465,152053.82427017
1466,178861.772500922
1467,145405.453108944
1468,165279.078730675
1469,156414.583849039
1470,123601.655214599
1471,156128.632401245
1472,131107.880719209
1473,138614.10622382
1474,164635.687973137
1475,120313.21356496
1476,227402.030764071
1477,170926.61982462
1478,181935.750564715
1479,190800.245446351
1480,253280.63678949
1481,221397.050360382
1482,158487.731845551
1483,155199.290195912
1484,142402.9629071
1485,158773.683293345
1486,184437.825732919
1487,237481.819298833
1488,174572.500784002
1489,147621.576829353
1490,165493.542316521
1491,179147.723948717
1492,132895.077267926
1493,167352.226727186
1494,228474.348693301
1495,219609.853811665
1496,166923.299555494
1497,180648.969049639
1498,146334.795314277
1499,146334.795314277
1500,148908.358344429
1501,168639.008242262
1502,137756.251880436
1503,161919.149219087
1504,192658.929857016
1505,167209.251003289
1506,191300.660479991
1507,238911.576537807
1508,195732.907920809
1509,178146.893881436
1510,148622.406896634
1511,146978.186071815
1512,168496.032518365
1513,187440.315934763
1514,184080.386423175
1515,236480.989231552
1516,171784.474168004
1517,141187.669253972
1518,175215.89154154
1519,166351.396659905
1520,142259.987183202
1521,146763.722485969
1522,173500.182854772
1523,156128.632401245
1524,136612.446089257
1525,130035.562789979
1526,131179.368581158
1527,130964.904995312
1528,148050.504001045
1529,144547.59876556
1530,160274.928394268
1531,192372.978409221
1532,127461.999759827
1533,156843.511020731
1534,149980.676273659
1535,177289.039538051
1536,149551.749101967
1537,120027.262117165
1538,172499.35278749
1539,222683.831875458
1540,221825.977532074
1541,165636.518040418
1542,175787.794437129
1543,208386.259485724
1544,115237.575366604
1545,141473.620701767
1546,146048.843866482
1547,164421.224387291
1548,161776.17349519
1549,134896.737402489
1550,170354.71692903
1551,136898.397537052
1552,200808.546119165
1553,172070.425615798
1554,155199.290195912
1555,180291.529739896
1556,148050.504001045
1557,160060.464808422
1558,126246.7061067
1559,195232.492887168
1560,180648.969049639
1561,191515.124065837
1562,124316.533834086
1563,122314.873699523
1564,158702.195431397
1565,163491.882181958
1566,166565.860245751
1567,114594.184609066
1568,202166.815496189
1569,175644.818713232
1570,137327.324708744
1571,169997.277619287
1572,144333.135179714
1573,168353.056794468
1574,153340.605785246
1575,162991.467148317
1576,189370.488207377
1577,147907.528277147
1578,163849.321491701
1579,129535.147756339
1580,181506.823393023
1581,133895.907335208
1582,123172.728042907
1583,201952.351910343
1584,210530.895344184
1585,121171.067908344
1586,106301.59262302
1587,131465.320028953
1588,146048.843866482
1589,140615.766358383
1590,138900.057671615
1591,129177.708446595
1592,153197.630061349
1593,121742.970803933
1594,249992.195139851
1595,179648.138982358
1596,213032.970512387
1597,216178.436438129
1598,178647.308915076
1599,134467.810230797
1600,145691.404556739
1601,99152.8064281531
1602,139686.42415305
1603,128605.805551006
1604,178218.381743384
1605,197520.104469526
1606,152411.263579914
1607,206956.50224675
1608,156772.023158783
1609,147335.625381558
1610,163777.833629753
1611,150910.018478992
1612,162777.003562471
1613,156629.047434885
1614,128105.390517365
1615,138614.10622382
1616,138614.10622382
1617,138614.10622382
1618,123029.75231901
1619,120098.749979114
1620,234407.84123504
1621,151624.897098478
1622,166279.908797956
1623,189441.976069326
1624,189013.048897634
1625,123601.655214599
1626,163062.955010266
1627,175501.842989335
1628,223756.149804688
1629,176931.600228308
1630,240841.748810421
1631,166208.420936007
1632,184509.313594867
1633,159345.586188935
1634,177503.503123898
1635,168924.959690057
1636,145619.91669479
1637,198806.885984602
1638,207099.477970648
1639,180005.578292101
1640,251636.41596467
1641,182579.141322253
1642,195232.492887168
1643,194517.614267681
1644,190013.878964915
1645,176431.185194667
1646,140329.814910588
1647,145834.380280636
1648,144905.038075303
1649,135611.616021976
1650,122314.873699523
1651,122314.873699523
1652,131107.880719209
1653,131107.880719209
1654,171212.571272414
1655,135969.055331719
1656,164635.687973137
1657,171212.571272414
1658,164635.687973137
1659,120313.21356496
1660,140615.766358383
1661,258713.714297589
1662,252851.709617798
1663,204954.842112188
1664,251707.903826619
1665,184652.289318765
1666,187940.730968404
1667,240698.773086524
1668,185152.704352405
1669,169997.277619287
1670,189799.415379069
1671,186367.998005533
1672,235837.598474014
1673,232120.229652683
1674,175358.867265437
1675,157629.877502167
1676,153912.508680836
1677,157629.877502167
1678,238697.112951961
1679,217822.657262948
1680,195232.492887168
1681,164635.687973137
1682,182936.580631997
1683,160989.807013754
1684,164635.687973137
1685,167066.275279391
1686,147764.55255325
1687,158773.683293345
1688,177074.575952206
1689,174501.012922053
1690,166994.787417443
1691,156486.071710988
1692,203811.036321009
1693,158773.683293345
1694,168781.98396616
1695,162777.003562471
1696,225829.2978012
1697,162777.003562471
1698,252637.246031952
1699,208028.82017598
1700,207885.844452083
1701,220110.268845306
1702,181792.774840818
1703,179076.236086768
1704,182221.70201251
1705,162919.979286368
1706,238554.137228063
1707,163205.930734163
1708,160775.343427908
1709,169925.789757338
1710,164063.785077547
1711,188870.073173736
1712,191801.075513632
1713,179362.187534563
1714,171570.010582158
1715,178718.796777025
1716,147621.576829353
1717,142117.011459305
1718,143332.305112432
1719,190085.366826864
1720,168639.008242262
1721,140186.839186691
1722,140186.839186691
1723,140186.839186691
1724,164206.760801445
1725,212246.604030952
1726,184223.362147073
1727,155771.193091501
1728,170640.668376825
1729,160632.367704011
1730,195089.517163271
1731,130607.465685569
1732,122314.873699523
1733,122314.873699523
1734,133466.980163516
1735,125746.291073059
1736,125746.291073059
1737,204525.914940496
1738,186010.558695789
1739,275370.386131629
1740,183937.410699278
1741,150338.115583402
1742,168639.008242262
1743,164349.736525342
1744,181649.799116921
1745,184938.240766559
1746,239197.527985601
1747,208314.771623775
1748,249277.316520364
1749,156057.144539296
1750,147478.601105455
1751,224113.589114432
1752,122314.873699523
1753,172642.328511388
1754,207885.844452083
1755,154913.338748117
1756,124459.509557983
1757,122314.873699523
1758,157915.828949961
1759,184080.386423175
1760,154412.923714476
1761,152911.678613554
1762,213533.385546028
1763,173214.231406977
1764,129177.708446595
1765,181435.335531074
